نام بیمارستان,روز هفته,تاریخ مصرف,تعداد مصرف,کد مشتریان,باز یا بسته بودن داروخانه,تخفیفات,تعطیلی مدارس,تعطیلی هفتگی
11,6,1/11/2019,9,1,1,0,1,0
8,6,1/11/2019,7,1,1,0,1,0
5,6,1/11/2019,30,1,1,0,1,0
2,6,1/11/2019,106,1,1,0,1,0
10,6,1/11/2019,31,1,1,0,1,0
12,6,1/11/2019,1,1,1,0,1,0
4,6,1/11/2019,2,1,1,0,1,0
12,7,1/12/2019,1,1,1,0,0,0
8,7,1/12/2019,10,1,1,0,0,0
1,7,1/12/2019,31,1,1,0,0,0
5,7,1/12/2019,45,1,1,0,0,0
3,7,1/12/2019,119,1,1,0,0,0
10,7,1/12/2019,25,1,1,0,0,0
2,7,1/12/2019,112,1,1,0,0,0
3,7,1/12/2019,1,1,1,0,0,0
9,7,1/12/2019,28,1,1,0,0,0
6,7,1/12/2019,4,1,1,0,0,0
11,7,1/12/2019,21,1,1,0,0,0
10,1,1/13/2019,52,1,1,0,0,0
5,1,1/13/2019,33,1,1,0,0,0
3,1,1/13/2019,139,1,1,0,0,0
2,1,1/13/2019,105,1,1,0,0,0
11,1,1/13/2019,19,1,1,0,0,0
8,1,1/13/2019,4,1,1,0,0,0
6,1,1/13/2019,6,1,1,0,0,0
12,1,1/13/2019,1,1,1,0,0,0
3,1,1/13/2019,13,1,1,0,0,0
4,1,1/13/2019,1,1,1,0,0,0
9,1,1/13/2019,17,1,1,0,0,0
1,1,1/13/2019,41,1,1,0,0,0
3,2,1/14/2019,63,1,1,0,0,0
5,2,1/14/2019,35,1,1,0,0,0
1,2,1/14/2019,29,1,1,0,0,0
2,2,1/14/2019,125,1,1,0,0,0
4,2,1/14/2019,1,1,1,0,0,0
10,2,1/14/2019,39,1,1,0,0,0
11,2,1/14/2019,13,1,1,0,0,0
8,2,1/14/2019,7,1,1,0,0,0
6,2,1/14/2019,6,1,1,0,0,0
9,2,1/14/2019,24,1,1,0,0,0
3,2,1/14/2019,92,1,1,0,0,0
9,3,1/15/2019,16,1,1,0,0,0
1,3,1/15/2019,37,1,1,0,0,0
11,3,1/15/2019,20,1,1,0,0,0
4,3,1/15/2019,1,1,1,0,0,0
3,3,1/15/2019,74,1,1,0,0,0
5,3,1/15/2019,44,1,1,0,0,0
8,3,1/15/2019,10,1,1,0,0,0
6,3,1/15/2019,6,1,1,0,0,0
2,3,1/15/2019,111,1,1,0,0,0
3,3,1/15/2019,60,1,1,0,0,0
10,3,1/15/2019,28,1,1,0,0,0
3,4,1/16/2019,112,1,1,0,0,0
6,4,1/16/2019,5,1,1,0,0,0
8,4,1/16/2019,10,1,1,0,0,0
9,4,1/16/2019,18,1,1,0,0,0
3,4,1/16/2019,61,1,1,0,0,0
5,4,1/16/2019,41,1,1,0,0,0
1,4,1/16/2019,30,1,1,0,0,0
10,4,1/16/2019,32,1,1,0,0,0
2,4,1/16/2019,119,1,1,0,0,0
11,4,1/16/2019,28,1,1,0,0,0
1,5,1/17/2019,56,1,1,0,0,0
9,5,1/17/2019,19,1,1,0,0,0
2,5,1/17/2019,123,1,1,0,0,0
11,5,1/17/2019,27,1,1,0,0,0
3,5,1/17/2019,64,1,1,0,0,0
10,5,1/17/2019,37,1,1,0,0,0
3,5,1/17/2019,49,1,1,0,0,0
8,5,1/17/2019,4,1,1,0,0,0
5,5,1/17/2019,30,1,1,0,0,0
6,5,1/17/2019,5,1,1,0,0,0
11,6,1/18/2019,17,1,1,0,1,0
9,6,1/18/2019,16,1,1,0,1,0
12,6,1/18/2019,3,1,1,0,1,0
3,6,1/18/2019,48,1,1,0,1,0
6,6,1/18/2019,4,1,1,0,1,0
3,6,1/18/2019,11,1,1,0,1,0
5,6,1/18/2019,33,1,1,0,1,0
10,6,1/18/2019,51,1,1,0,1,0
8,6,1/18/2019,2,1,1,0,1,0
2,6,1/18/2019,95,1,1,0,1,0
1,6,1/18/2019,59,1,1,0,1,0
10,7,1/19/2019,52,1,1,0,0,0
11,7,1/19/2019,17,1,1,0,0,0
2,7,1/19/2019,113,1,1,0,0,0
6,7,1/19/2019,8,1,1,0,0,0
1,7,1/19/2019,57,1,1,0,0,0
3,7,1/19/2019,7,1,1,0,0,0
9,7,1/19/2019,21,1,1,0,0,0
5,7,1/19/2019,31,1,1,0,0,0
8,7,1/19/2019,11,1,1,0,0,0
12,7,1/19/2019,2,1,1,0,0,0
3,7,1/19/2019,70,1,1,0,0,0
6,1,1/20/2019,14,1,1,0,0,0
8,1,1/20/2019,8,1,1,0,0,0
2,1,1/20/2019,115,1,1,0,0,0
3,1,1/20/2019,6,1,1,0,0,0
11,1,1/20/2019,25,1,1,0,0,0
3,1,1/20/2019,91,1,1,0,0,0
9,1,1/20/2019,14,1,1,0,0,0
1,1,1/20/2019,38,1,1,0,0,0
10,1,1/20/2019,41,1,1,0,0,0
5,1,1/20/2019,29,1,1,0,0,0
4,1,1/20/2019,2,1,1,0,0,0
12,2,1/21/2019,3,1,1,0,0,0
1,2,1/21/2019,36,1,1,0,0,0
2,2,1/21/2019,122,1,1,0,0,0
11,2,1/21/2019,15,1,1,0,0,0
5,2,1/21/2019,49,1,1,0,0,0
6,2,1/21/2019,13,1,1,0,0,0
4,2,1/21/2019,5,1,1,0,0,0
3,2,1/21/2019,124,1,1,0,0,0
3,2,1/21/2019,9,1,1,0,0,0
10,2,1/21/2019,39,1,1,0,0,0
9,2,1/21/2019,10,1,1,0,0,0
8,2,1/21/2019,7,1,1,0,0,0
6,3,1/22/2019,16,1,1,0,0,0
8,3,1/22/2019,7,1,1,0,0,0
9,3,1/22/2019,14,1,1,0,0,0
10,3,1/22/2019,37,1,1,0,0,0
5,3,1/22/2019,39,1,1,0,0,0
4,3,1/22/2019,8,1,1,0,0,0
2,3,1/22/2019,127,1,1,0,0,0
12,3,1/22/2019,3,1,1,0,0,0
1,3,1/22/2019,20,1,1,0,0,0
11,3,1/22/2019,24,1,1,0,0,0
3,3,1/22/2019,2,1,1,0,0,0
3,3,1/22/2019,102,1,1,0,0,0
12,4,1/23/2019,1,1,1,0,0,0
9,4,1/23/2019,12,1,1,0,0,0
1,4,1/23/2019,24,1,1,0,0,0
2,4,1/23/2019,157,1,1,0,0,0
8,4,1/23/2019,10,1,1,0,0,0
3,4,1/23/2019,111,1,1,0,0,0
11,4,1/23/2019,24,1,1,0,0,0
5,4,1/23/2019,45,1,1,0,0,0
10,4,1/23/2019,46,1,1,0,0,0
3,4,1/23/2019,4,1,1,0,0,0
6,4,1/23/2019,11,1,1,0,0,0
6,5,1/24/2019,7,1,1,0,0,0
2,5,1/24/2019,132,1,1,0,0,0
3,5,1/24/2019,107,1,1,0,0,0
3,5,1/24/2019,4,1,1,0,0,0
8,5,1/24/2019,14,1,1,0,0,0
10,5,1/24/2019,26,1,1,0,0,0
1,5,1/24/2019,31,1,1,0,0,0
11,5,1/24/2019,17,1,1,0,0,0
5,5,1/24/2019,45,1,1,0,0,0
9,5,1/24/2019,8,1,1,0,0,0
5,6,1/25/2019,36,1,1,0,1,0
3,6,1/25/2019,1,1,1,0,1,0
8,6,1/25/2019,8,1,1,0,1,0
1,6,1/25/2019,19,1,1,0,1,0
6,6,1/25/2019,3,1,1,0,1,0
11,6,1/25/2019,6,1,1,0,1,0
2,6,1/25/2019,114,1,1,0,1,0
3,6,1/25/2019,91,1,1,0,1,0
9,6,1/25/2019,15,1,1,0,1,0
10,6,1/25/2019,52,1,1,0,1,0
5,7,1/26/2019,45,1,1,0,0,0
3,7,1/26/2019,83,1,1,0,0,0
3,7,1/26/2019,2,1,1,0,0,0
11,7,1/26/2019,16,1,1,0,0,0
9,7,1/26/2019,15,1,1,0,0,0
2,7,1/26/2019,110,1,1,0,0,0
4,7,1/26/2019,1,1,1,0,0,0
6,7,1/26/2019,5,1,1,0,0,0
10,7,1/26/2019,34,1,1,0,0,0
1,7,1/26/2019,40,1,1,0,0,0
8,7,1/26/2019,14,1,1,0,0,0
11,1,1/27/2019,19,1,1,0,0,0
10,1,1/27/2019,30,1,1,0,0,0
4,1,1/27/2019,9,1,1,0,0,0
2,1,1/27/2019,112,1,1,0,0,0
1,1,1/27/2019,42,1,1,0,0,0
6,1,1/27/2019,7,1,1,0,0,0
8,1,1/27/2019,9,1,1,0,0,0
3,1,1/27/2019,128,1,1,0,0,0
9,1,1/27/2019,21,1,1,0,0,0
12,1,1/27/2019,2,1,1,0,0,0
5,1,1/27/2019,36,1,1,0,0,0
3,2,1/28/2019,3,1,1,0,0,0
5,2,1/28/2019,31,1,1,0,0,0
8,2,1/28/2019,13,1,1,0,0,0
3,2,1/28/2019,96,1,1,0,0,0
11,2,1/28/2019,19,1,1,0,0,0
10,2,1/28/2019,32,1,1,0,0,0
9,2,1/28/2019,32,1,1,0,0,0
6,2,1/28/2019,8,1,1,0,0,0
1,2,1/28/2019,63,1,1,0,0,0
4,2,1/28/2019,2,1,1,0,0,0
2,2,1/28/2019,127,1,1,0,0,0
11,3,1/29/2019,15,1,1,0,0,0
12,3,1/29/2019,1,1,1,0,0,0
9,3,1/29/2019,27,1,1,0,0,0
10,3,1/29/2019,27,1,1,0,0,0
5,3,1/29/2019,47,1,1,0,0,0
3,3,1/29/2019,31,1,1,0,0,0
2,3,1/29/2019,112,1,1,0,0,0
1,3,1/29/2019,52,1,1,0,0,0
4,3,1/29/2019,4,1,1,0,0,0
8,3,1/29/2019,13,1,1,0,0,0
3,3,1/29/2019,49,1,1,0,0,0
6,3,1/29/2019,7,1,1,0,0,0
9,4,1/30/2019,28,1,1,0,0,0
6,4,1/30/2019,8,1,1,0,0,0
10,4,1/30/2019,31,1,1,0,0,0
5,4,1/30/2019,26,1,1,0,0,0
8,4,1/30/2019,11,1,1,0,0,0
4,4,1/30/2019,1,1,1,0,0,0
3,4,1/30/2019,10,1,1,0,0,0
2,4,1/30/2019,101,1,1,0,0,0
1,4,1/30/2019,30,1,1,0,0,0
3,4,1/30/2019,70,1,1,0,0,0
11,4,1/30/2019,20,1,1,0,0,0
5,5,1/31/2019,34,1,1,0,0,0
8,5,1/31/2019,4,1,1,0,0,0
11,5,1/31/2019,12,1,1,0,0,0
3,5,1/31/2019,4,1,1,0,0,0
3,5,1/31/2019,79,1,1,0,0,0
6,5,1/31/2019,8,1,1,0,0,0
1,5,1/31/2019,52,1,1,0,0,0
9,5,1/31/2019,29,1,1,0,0,0
2,5,1/31/2019,91,1,1,0,0,0
10,5,1/31/2019,25,1,1,0,0,0
2,6,2/1/2019,83,1,1,0,1,0
6,6,2/1/2019,5,1,1,0,1,0
3,6,2/1/2019,39,1,1,0,1,0
8,6,2/1/2019,5,1,1,0,1,0
11,6,2/1/2019,8,1,1,0,1,0
9,6,2/1/2019,27,1,1,0,1,0
1,6,2/1/2019,50,1,1,0,1,0
10,6,2/1/2019,46,1,1,0,1,0
4,6,2/1/2019,2,1,1,0,1,0
5,6,2/1/2019,36,1,1,0,1,0
3,7,2/2/2019,93,1,1,0,0,0
10,7,2/2/2019,33,1,1,0,0,0
6,7,2/2/2019,4,1,1,0,0,0
11,7,2/2/2019,11,1,1,0,0,0
4,7,2/2/2019,2,1,1,0,0,0
1,7,2/2/2019,30,1,1,0,0,0
2,7,2/2/2019,82,1,1,0,0,0
8,7,2/2/2019,7,1,1,0,0,0
9,7,2/2/2019,21,1,1,0,0,0
5,7,2/2/2019,32,1,1,0,0,0
5,1,2/3/2019,60,1,1,0,0,0
3,1,2/3/2019,120,1,1,0,0,0
11,1,2/3/2019,6,1,1,0,0,0
10,1,2/3/2019,52,1,1,0,0,0
6,1,2/3/2019,11,1,1,0,0,0
8,1,2/3/2019,9,1,1,0,0,0
4,1,2/3/2019,5,1,1,0,0,0
2,1,2/3/2019,91,1,1,0,0,0
1,1,2/3/2019,36,1,1,0,0,0
9,1,2/3/2019,17,1,1,0,0,0
3,1,2/3/2019,5,1,1,0,0,0
11,2,2/4/2019,6,1,1,0,0,0
6,2,2/4/2019,8,1,1,0,0,0
9,2,2/4/2019,17,1,1,0,0,0
5,2,2/4/2019,57,1,1,0,0,0
4,2,2/4/2019,2,1,1,0,0,0
3,2,2/4/2019,98,1,1,0,0,0
8,2,2/4/2019,12,1,1,0,0,0
1,2,2/4/2019,27,1,1,0,0,0
2,2,2/4/2019,90,1,1,0,0,0
10,2,2/4/2019,34,1,1,0,0,0
1,3,2/5/2019,26,1,1,0,0,0
11,3,2/5/2019,7,1,1,0,0,0
6,3,2/5/2019,10,1,1,0,0,0
2,3,2/5/2019,87,1,1,0,0,0
5,3,2/5/2019,49,1,1,0,0,0
8,3,2/5/2019,7,1,1,0,0,0
3,3,2/5/2019,109,1,1,0,0,0
9,3,2/5/2019,17,1,1,0,0,0
10,3,2/5/2019,38,1,1,0,0,0
3,4,2/6/2019,135,1,1,0,0,0
8,4,2/6/2019,10,1,1,0,0,0
10,4,2/6/2019,37,1,1,0,0,0
11,4,2/6/2019,3,1,1,0,0,0
2,4,2/6/2019,100,1,1,0,0,0
3,4,2/6/2019,1,1,1,0,0,0
6,4,2/6/2019,16,1,1,0,0,0
1,4,2/6/2019,18,1,1,0,0,0
5,4,2/6/2019,51,1,1,0,0,0
9,4,2/6/2019,24,1,1,0,0,0
8,5,2/7/2019,7,1,1,0,0,0
9,5,2/7/2019,17,1,1,0,0,0
4,5,2/7/2019,1,1,1,0,0,0
3,5,2/7/2019,105,1,1,0,0,0
2,5,2/7/2019,94,1,1,0,0,0
1,5,2/7/2019,36,1,1,0,0,0
11,5,2/7/2019,13,1,1,0,0,0
10,5,2/7/2019,43,1,1,0,0,0
6,5,2/7/2019,6,1,1,0,0,0
5,5,2/7/2019,40,1,1,0,0,0
6,6,2/8/2019,3,1,1,0,1,0
10,6,2/8/2019,39,1,1,0,1,0
9,6,2/8/2019,21,1,1,0,1,0
8,6,2/8/2019,10,1,1,0,1,0
11,6,2/8/2019,11,1,1,0,1,0
5,6,2/8/2019,29,1,1,0,1,0
1,6,2/8/2019,29,1,1,0,1,0
3,6,2/8/2019,85,1,1,0,1,0
2,6,2/8/2019,80,1,1,0,1,0
3,7,2/9/2019,76,1,1,0,0,0
4,7,2/9/2019,2,1,1,0,0,0
5,7,2/9/2019,22,1,1,0,0,0
1,7,2/9/2019,47,1,1,0,0,0
11,7,2/9/2019,10,1,1,0,0,0
2,7,2/9/2019,64,1,1,0,0,0
10,7,2/9/2019,43,1,1,0,0,0
9,7,2/9/2019,15,1,1,0,0,0
6,7,2/9/2019,8,1,1,0,0,0
8,7,2/9/2019,9,1,1,0,0,0
5,1,2/10/2019,23,1,1,0,0,0
6,1,2/10/2019,6,1,1,0,0,0
2,1,2/10/2019,67,1,1,0,0,0
11,1,2/10/2019,14,1,1,0,0,0
8,1,2/10/2019,12,1,1,0,0,0
1,1,2/10/2019,54,1,1,0,0,0
10,1,2/10/2019,42,1,1,0,0,0
3,1,2/10/2019,1,1,1,0,0,0
3,1,2/10/2019,75,1,1,0,0,0
9,1,2/10/2019,18,1,1,0,0,0
3,2,2/11/2019,72,1,1,0,0,0
5,2,2/11/2019,21,1,1,0,0,0
8,2,2/11/2019,4,1,1,0,0,0
11,2,2/11/2019,14,1,1,0,0,0
2,2,2/11/2019,75,1,1,0,0,0
9,2,2/11/2019,13,1,1,0,0,0
1,2,2/11/2019,34,1,1,0,0,0
6,2,2/11/2019,10,1,1,0,0,0
10,2,2/11/2019,47,1,1,0,0,0
8,3,2/12/2019,4,1,1,0,0,0
11,3,2/12/2019,10,1,1,0,0,0
1,3,2/12/2019,44,1,1,0,0,0
6,3,2/12/2019,11,1,1,0,0,0
3,3,2/12/2019,2,1,1,0,0,0
9,3,2/12/2019,19,1,1,0,0,0
2,3,2/12/2019,58,1,1,0,0,0
5,3,2/12/2019,21,1,1,0,0,0
4,3,2/12/2019,2,1,1,0,0,0
10,3,2/12/2019,45,1,1,0,0,0
3,3,2/12/2019,81,1,1,0,0,0
6,4,2/13/2019,7,1,1,0,0,0
8,4,2/13/2019,5,1,1,0,0,0
3,4,2/13/2019,118,1,1,0,0,0
1,4,2/13/2019,41,1,1,0,0,0
10,4,2/13/2019,40,1,1,0,0,0
2,4,2/13/2019,81,1,1,0,0,0
9,4,2/13/2019,31,1,1,0,0,0
11,4,2/13/2019,11,1,1,0,0,0
5,4,2/13/2019,23,1,1,0,0,0
4,4,2/13/2019,2,1,1,0,0,0
3,4,2/13/2019,2,1,1,0,0,0
10,5,2/14/2019,35,1,1,0,0,0
8,5,2/14/2019,4,1,1,0,0,0
4,5,2/14/2019,2,1,1,0,0,0
5,5,2/14/2019,28,1,1,0,0,0
9,5,2/14/2019,16,1,1,0,0,0
1,5,2/14/2019,38,1,1,0,0,0
3,5,2/14/2019,100,1,1,0,0,0
2,5,2/14/2019,93,1,1,0,0,0
11,5,2/14/2019,9,1,1,0,0,0
6,5,2/14/2019,5,1,1,0,0,0
3,6,2/15/2019,76,1,1,0,1,0
5,6,2/15/2019,25,1,1,0,1,0
10,6,2/15/2019,44,1,1,0,1,0
11,6,2/15/2019,9,1,1,0,1,0
4,6,2/15/2019,2,1,1,0,1,0
8,6,2/15/2019,5,1,1,0,1,0
3,6,2/15/2019,2,1,1,0,1,0
6,6,2/15/2019,3,1,1,0,1,0
2,6,2/15/2019,76,1,1,0,1,0
9,6,2/15/2019,14,1,1,0,1,0
1,6,2/15/2019,38,1,1,0,1,0
6,7,2/16/2019,6,1,1,0,0,0
1,7,2/16/2019,33,1,1,0,0,0
8,7,2/16/2019,1,1,1,0,0,0
5,7,2/16/2019,32,1,1,0,0,0
9,7,2/16/2019,10,1,1,0,0,0
3,7,2/16/2019,136,1,1,0,0,0
11,7,2/16/2019,10,1,1,0,0,0
10,7,2/16/2019,46,1,1,0,0,0
2,7,2/16/2019,81,1,1,0,0,0
4,7,2/16/2019,4,1,1,0,0,0
9,1,2/17/2019,15,1,1,0,0,0
10,1,2/17/2019,36,1,1,0,0,0
1,1,2/17/2019,43,1,1,0,0,0
3,1,2/17/2019,122,1,1,0,0,0
11,1,2/17/2019,17,1,1,0,0,0
2,1,2/17/2019,84,1,1,0,0,0
8,1,2/17/2019,4,1,1,0,0,0
5,1,2/17/2019,35,1,1,0,0,0
4,1,2/17/2019,8,1,1,0,0,0
6,1,2/17/2019,14,1,1,0,0,0
8,2,2/18/2019,6,1,1,0,0,0
11,2,2/18/2019,21,1,1,0,0,0
10,2,2/18/2019,41,1,1,0,0,0
3,2,2/18/2019,129,1,1,0,0,0
2,2,2/18/2019,113,1,1,0,0,0
9,2,2/18/2019,14,1,1,0,0,0
6,2,2/18/2019,4,1,1,0,0,0
5,2,2/18/2019,40,1,1,0,0,0
4,2,2/18/2019,7,1,1,0,0,0
1,2,2/18/2019,41,1,1,0,0,0
8,3,2/19/2019,11,1,1,0,0,0
6,3,2/19/2019,10,1,1,0,0,0
11,3,2/19/2019,13,1,1,0,0,0
1,3,2/19/2019,31,1,1,0,0,0
2,3,2/19/2019,128,1,1,0,0,0
4,3,2/19/2019,2,1,1,0,0,0
3,3,2/19/2019,140,1,1,0,0,0
10,3,2/19/2019,28,1,1,0,0,0
9,3,2/19/2019,17,1,1,0,0,0
5,3,2/19/2019,29,1,1,0,0,0
4,4,2/20/2019,4,1,1,0,0,0
11,4,2/20/2019,11,1,1,0,0,0
10,4,2/20/2019,22,1,1,0,0,0
8,4,2/20/2019,12,1,1,0,0,0
1,4,2/20/2019,28,1,1,0,0,0
6,4,2/20/2019,8,1,1,0,0,0
5,4,2/20/2019,28,1,1,0,0,0
2,4,2/20/2019,106,1,1,0,0,0
3,4,2/20/2019,116,1,1,0,0,0
9,4,2/20/2019,20,1,1,0,0,0
3,5,2/21/2019,94,1,1,0,0,0
6,5,2/21/2019,9,1,1,0,0,0
8,5,2/21/2019,11,1,1,0,0,0
2,5,2/21/2019,100,1,1,0,0,0
9,5,2/21/2019,19,1,1,0,0,0
10,5,2/21/2019,26,1,1,0,0,0
11,5,2/21/2019,16,1,1,0,0,0
4,5,2/21/2019,1,1,1,0,0,0
1,5,2/21/2019,28,1,1,0,0,0
5,5,2/21/2019,17,1,1,0,0,0
9,6,2/22/2019,17,1,1,0,1,0
2,6,2/22/2019,73,1,1,0,1,0
10,6,2/22/2019,27,1,1,0,1,0
11,6,2/22/2019,12,1,1,0,1,0
8,6,2/22/2019,6,1,1,0,1,0
6,6,2/22/2019,5,1,1,0,1,0
5,6,2/22/2019,19,1,1,0,1,0
3,6,2/22/2019,90,1,1,0,1,0
1,6,2/22/2019,50,1,1,0,1,0
6,7,2/23/2019,8,1,1,0,0,0
5,7,2/23/2019,28,1,1,0,0,0
4,7,2/23/2019,1,1,1,0,0,0
3,7,2/23/2019,2,1,1,0,0,0
3,7,2/23/2019,114,1,1,0,0,0
1,7,2/23/2019,28,1,1,0,0,0
2,7,2/23/2019,77,1,1,0,0,0
8,7,2/23/2019,6,1,1,0,0,0
11,7,2/23/2019,20,1,1,0,0,0
9,7,2/23/2019,14,1,1,0,0,0
10,7,2/23/2019,25,1,1,0,0,0
10,1,2/24/2019,33,1,1,0,0,0
3,1,2/24/2019,134,1,1,0,0,0
2,1,2/24/2019,103,1,1,0,0,0
5,1,2/24/2019,32,1,1,0,0,0
3,1,2/24/2019,1,1,1,0,0,0
4,1,2/24/2019,1,1,1,0,0,0
8,1,2/24/2019,11,1,1,0,0,0
9,1,2/24/2019,16,1,1,0,0,0
12,1,2/24/2019,1,1,1,0,0,0
6,1,2/24/2019,21,1,1,0,0,0
11,1,2/24/2019,27,1,1,0,0,0
1,1,2/24/2019,34,1,1,0,0,0
8,2,2/25/2019,10,1,1,0,0,0
10,2,2/25/2019,43,1,1,0,0,0
5,2,2/25/2019,41,1,1,0,0,0
3,2,2/25/2019,167,1,1,0,0,0
9,2,2/25/2019,17,1,1,0,0,0
11,2,2/25/2019,25,1,1,0,0,0
2,2,2/25/2019,87,1,1,0,0,0
1,2,2/25/2019,35,1,1,0,0,0
6,2,2/25/2019,15,1,1,0,0,0
4,2,2/25/2019,7,1,1,0,0,0
9,3,2/26/2019,18,1,1,0,0,0
1,3,2/26/2019,28,1,1,0,0,0
2,3,2/26/2019,88,1,1,0,0,0
5,3,2/26/2019,29,1,1,0,0,0
10,3,2/26/2019,38,1,1,0,0,0
3,3,2/26/2019,153,1,1,0,0,0
8,3,2/26/2019,9,1,1,0,0,0
11,3,2/26/2019,25,1,1,0,0,0
6,3,2/26/2019,15,1,1,0,0,0
4,3,2/26/2019,2,1,1,0,0,0
11,4,2/27/2019,27,1,1,0,0,0
2,4,2/27/2019,83,1,1,0,0,0
10,4,2/27/2019,40,1,1,0,0,0
